ID	Genome_coverage	Sequencing_depth	Lineage	Sublineage	BioPrject
DRR034369	 0.972062 	 39.7675	LINEAGE2	lineage2.2.1.1	PRJDB3875
DRR034370	 0.980133 	 43.8051	LINEAGE4	lineage4.2.2	PRJDB3875
DRR034371	 0.971205 	 29.7995	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034372	 0.973311 	 41.6117	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034373	 0.970724 	 32.1647	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034374	 0.976731 	 37.7255	LINEAGE4	lineage4.3.3	PRJDB3875
DRR034375	 0.973215 	 41.2181	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034376	 0.973958 	 46.7044	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034377	 0.976711 	 53.9115	LINEAGE4	lineage4.5	PRJDB3875
DRR034378	 0.97414 	 42.9146	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034379	 0.980587 	 34.1011	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034380	 0.979588 	 41.0361	LINEAGE4	lineage4.4.2	PRJDB3875
DRR034381	 0.971561 	 31.7375	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034382	 0.973085 	 45.059	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034383	 0.97735 	 38.4564	LINEAGE3	lineage3.x.x.x	PRJDB3875
DRR034384	 0.970866 	 27.0735	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034385	 0.978381 	 39.8954	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034386	 0.969163 	 21.1011	LINEAGE4	lineage4.8	PRJDB3875
DRR034387	 0.977391 	 38.8616	LINEAGE1	lineage1.2.1	PRJDB3875
DRR034388	 0.977649 	 45.9946	LINEAGE1	lineage1.2.1	PRJDB3875
DRR034389	 0.972026 	 42.5727	LINEAGE2	lineage2.2.1.1	PRJDB3875
DRR034390	 0.965783 	 31.8476	LINEAGE4	lineage4.3.4.1	PRJDB3875
DRR034391	 0.97416 	 42.1914	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034392	 0.978352 	 49.6026	LINEAGE1	lineage1.2.2	PRJDB3875
DRR034393	 0.974301 	 39.141	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034394	 0.976515 	 48.1259	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034395	 0.973637 	 49.4254	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034396	 0.985262 	 55.2679	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034397	 0.967142 	 42.2554	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034398	 0.971765 	 36.1017	LINEAGE2	lineage2.2.1.1	PRJDB3875
DRR034399	 0.977645 	 69.6387	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034400	 0.972983 	 42.8288	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034401	 0.974963 	 48.4533	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034402	 0.973811 	 40.9298	LINEAGE2	lineage2.2.1.1	PRJDB3875
DRR034403	 0.978015 	 45.2011	LINEAGE4	lineage4.3.3	PRJDB3875
DRR034404	 0.974152 	 40.6594	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034405	 0.973616 	 32.3336	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034406	 0.974476 	 37.0167	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034407	 0.903347 	 8.22783	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034408	 0.97904 	 43.6586	LINEAGE4	lineage4.3.3	PRJDB3875
DRR034409	 0.977155 	 39.3493	LINEAGE4	lineage4.8	PRJDB3875
DRR034410	 0.979469 	 45.1537	LINEAGE4	lineage4.2.1	PRJDB3875
DRR034411	 0.978832 	 40.0656	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034412	 0.98073 	 39.9107	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034413	 0.975839 	 33.8229	LINEAGE4	lineage4.2.2	PRJDB3875
DRR034414	 0.973176 	 38.1366	LINEAGE2	lineage2.2.1.1	PRJDB3875
DRR034415	 0.978187 	 48.4626	LINEAGE4	lineage4.3.3	PRJDB3875
DRR034416	 0.971615 	 35.533	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034417	 0.976248 	 45.7092	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034418	 0.973564 	 41.7151	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034419	 0.965978 	 28.727	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034420	 0.972424 	 38.1152	LINEAGE2	lineage2.2.1.1	PRJDB3875
DRR034421	 0.97517 	 43.111	LINEAGE2	lineage2.1	PRJDB3875
DRR034422	 0.96934 	 38.8032	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034423	 0.975916 	 52.0217	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034424	 0.966868 	 23.0935	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034425	 0.971478 	 41.7688	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034426	 0.97675 	 34.7649	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034427	 0.974543 	 46.5238	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034428	 0.969554 	 40.1797	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034429	 0.976634 	 58.5185	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034430	 0.975575 	 46.9856	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034431	 0.97433 	 37.9812	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034432	 0.974343 	 39.0242	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034433	 0.979208 	 83.5168	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034434	 0.979155 	 65.786	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034435	 0.980124 	 63.1193	LINEAGE4	lineage4.5	PRJDB3875
DRR034436	 0.975019 	 38.5224	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034437	 0.97192 	 36.7626	LINEAGE4	lineage4.4.2	PRJDB3875
DRR034438	 0.973905 	 38.822	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034439	 0.977609 	 71.6533	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034440	 0.976226 	 63.6201	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034441	 0.984743 	 63.2599	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034442	 0.976354 	 63.5666	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034443	 0.976093 	 71.0581	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034444	 0.980573 	 65.864	LINEAGE4	lineage4.5	PRJDB3875
DRR034445	 0.983026 	 62.0211	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034446	 0.97737 	 54.0598	LINEAGE1	lineage1.2.1	PRJDB3875
DRR034447	 0.979069 	 67.5452	LINEAGE4	lineage4.2.2	PRJDB3875
DRR034448	 0.978093 	 79.5548	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034449	 0.954437 	 16.925	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034450	 0.976528 	 59.9885	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034451	 0.976468 	 47.9725	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034452	 0.973533 	 50.4545	LINEAGE4	lineage4.11	PRJDB3875
DRR034453	 0.974575 	 52.1294	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034454	 0.977238 	 53.7819	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034455	 0.974098 	 55.5756	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034456	 0.985009 	 49.1314	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034457	 0.980727 	 52.139	LINEAGE4	lineage4.5	PRJDB3875
DRR034458	 0.975632 	 55.9747	LINEAGE2	lineage2.2.2	PRJDB3875
DRR034459	 0.97838 	 71.5827	LINEAGE2	lineage2.2.1.1	PRJDB3875
DRR034460	 0.978456 	 43.6122	LINEAGE1	lineage1.2.1	PRJDB3875
DRR034461	 0.978678 	 57.3349	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034462	 0.977008 	 52.5548	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034463	 0.97912 	 88.0444	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034464	 0.97816 	 57.1172	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034465	 0.976739 	 52.8109	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034466	 0.97166 	 59.2692	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034467	 0.9781 	 76.3126	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034468	 0.978388 	 66.5186	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034469	 0.975222 	 59.3285	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034470	 0.97791 	 66.0432	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034471	 0.976969 	 65.4397	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034472	 0.981554 	 67.8825	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034473	 0.975276 	 43.7331	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034474	 0.983434 	 62.4957	LINEAGE4	lineage4.5	PRJDB3875
DRR034475	 0.978821 	 100.84	LINEAGE4	lineage4.5	PRJDB3875
DRR034476	 0.974048 	 58.7674	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034477	 0.972091 	 35.4772	LINEAGE4	lineage4.5	PRJDB3875
DRR034478	 0.972537 	 58.2085	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034479	 0.974719 	 56.198	LINEAGE4	lineage4.5	PRJDB3875
DRR034480	 0.976282 	 35.2249	LINEAGE4	lineage4.2.2	PRJDB3875
DRR034481	 0.975452 	 43.2256	LINEAGE1	lineage1.2.1	PRJDB3875
DRR034482	 0.974994 	 47.9092	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034483	 0.960188 	 37.9054	LINEAGE4	lineage4.4.2	PRJDB3875
DRR034484	 0.970655 	 51.4988	LINEAGE4	lineage4.3.3	PRJDB3875
DRR034485	 0.973312 	 39.5527	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034486	 0.976323 	 59.1673	LINEAGE1	lineage1.2.1	PRJDB3875
DRR034487	 0.97613 	 41.043	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034488	 0.978519 	 27.2554	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034489	 0.974202 	 43.0286	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034490	 0.970115 	 25.5241	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034491	 0.974536 	 50.9372	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034492	 0.979604 	 75.1393	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034493	 0.968722 	 30.3955	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034494	 0.976151 	 52.4436	LINEAGE4	lineage4.5	PRJDB3875
DRR034495	 0.975841 	 49.1763	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034496	 0.974832 	 36.6653	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034497	 0.98297 	 162.441	LINEAGE2	lineage2.2.2	PRJDB3875
DRR034498	 0.973018 	 30.468	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034499	 0.981067 	 72.1991	LINEAGE4	lineage4.5	PRJDB3875
DRR034500	 0.972729 	 35.1229	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034501	 0.963359 	 18.1299	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034502	 0.967729 	 64.7106	LINEAGE2	lineage2.2.2	PRJDB3875
DRR034503	 0.979404 	 41.6305	LINEAGE4	lineage4.5	PRJDB3875
DRR034504	 0.976274 	 46.2733	LINEAGE4	lineage4.2.2	PRJDB3875
DRR034505	 0.976372 	 49.7971	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034506	 0.973117 	 32.6103	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034507	 0.976915 	 36.8525	LINEAGE4	lineage4.2.2	PRJDB3875
DRR034508	 0.974197 	 32.261	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034509	 0.978198 	 55.8476	LINEAGE2	lineage2.2.2	PRJDB3875
DRR034510	 0.977208 	 47.3143	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034511	 0.974803 	 39.9152	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034512	 0.979101 	 105.216	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034513	 0.972084 	 33.4022	LINEAGE4	lineage4.7	PRJDB3875
DRR034514	 0.973802 	 39.3147	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034515	 0.975944 	 41.0853	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034516	 0.979211 	 117.837	LINEAGE2	lineage2.2.2	PRJDB3875
DRR034517	 0.971217 	 30.6071	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034518	 0.972867 	 40.5183	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034519	 0.973023 	 34.0918	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034520	 0.969506 	 25.3063	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034521	 0.982034 	 36.798	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034522	 0.976518 	 46.5609	LINEAGE1	lineage1.2.1	PRJDB3875
DRR034523	 0.975826 	 44.6159	LINEAGE1	lineage1.2.1	PRJDB3875
DRR034524	 0.975963 	 41.4752	LINEAGE4	lineage4.1.2.1	PRJDB3875
DRR034525	 0.975457 	 40.8073	LINEAGE1	lineage1.2.1	PRJDB3875
DRR034526	 0.974164 	 41.4137	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034527	 0.975911 	 52.0977	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034528	 0.981105 	 40.7459	LINEAGE4	lineage4.9.x.x	PRJDB3875
DRR034529	 0.972608 	 43.3524	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034530	 0.969923 	 31.786	LINEAGE1	lineage1.1.1.1	PRJDB3875
DRR034531	 0.974598 	 46.565	LINEAGE2	lineage2.2.2	PRJDB3875
DRR034532	 0.969633 	 26.6608	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034533	 0.969761 	 27.2536	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034534	 0.977934 	 45.5591	LINEAGE4	lineage4.11	PRJDB3875
DRR034535	 0.977184 	 64.8943	LINEAGE2	lineage2.2.1	PRJDB3875
DRR034536	 0.977526 	 59.6481	LINEAGE2	lineage2.2.1	PRJDB3875
DRR099683	 0.98499 	 147.273	LINEAGE1	lineage1.1.1.1	PRJDB6149
DRR099684	 0.984329 	 114.172	LINEAGE1	lineage1.1.1.1	PRJDB6149
DRR099685	 0.985242 	 101.301	LINEAGE1	lineage1.1.1.1	PRJDB6149
DRR099686	 0.984048 	 106.442	LINEAGE1	lineage1.1.1.1	PRJDB6149
DRR099687	 0.985165 	 114.606	LINEAGE1	lineage1.1.1.1	PRJDB6149
DRR099688	 0.984034 	 162.013	LINEAGE1	lineage1.1.1.1	PRJDB6149
DRR099689	 0.98258 	 79.6758	LINEAGE1	lineage1.1.1.1	PRJDB6149
DRR099690	 0.984514 	 108.622	LINEAGE1	lineage1.1.1.1	PRJDB6149
DRR099691	 0.984593 	 101.463	LINEAGE1	lineage1.1.1.1	PRJDB6149
DRR099692	 0.985975 	 165.217	LINEAGE1	lineage1.1.1.1	PRJDB6149
DRR099693	 0.984118 	 146.484	LINEAGE1	lineage1.1.1.1	PRJDB6149
DRR099694	 0.984481 	 121.335	LINEAGE1	lineage1.1.1.1	PRJDB6149
DRR130052	 0.983636 	 98.5076	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130053	 0.981329 	 50.8348	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130054	 0.983105 	 89.265	LINEAGE2	lineage2.2.1.1	PRJDB7006
DRR130055	 0.982093 	 61.6705	LINEAGE2	lineage2.2.1.1	PRJDB7006
DRR130056	 0.98829 	 33.8088	LINEAGE4	lineage4.1.1.3	PRJDB7006
DRR130057	 0.982162 	 70.8136	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130058	 0.983131 	 128.246	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130059	 0.98638 	 77.509	LINEAGE4	lineage4.5	PRJDB7006
DRR130060	 0.981694 	 98.183	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130061	 0.984512 	 127.325	LINEAGE2	lineage2.2.1.1	PRJDB7006
DRR130062	 0.981557 	 63.1036	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130063	 0.981338 	 40.2095	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130064	 0.984311 	 122.751	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130065	 0.987438 	 31.5245	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130066	 0.981048 	 75.5769	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130067	 0.989764 	 88.0102	LINEAGE1	lineage1.2.1	PRJDB7006
DRR130068	 0.990053 	 103.12	LINEAGE1	lineage1.2.1	PRJDB7006
DRR130069	 0.981345 	 95.3671	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130070	 0.977831 	 73.3749	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130071	 0.983391 	 95.4899	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130072	 0.983637 	 88.8489	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130073	 0.982553 	 99.8837	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130074	 0.982689 	 57.7785	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130075	 0.981096 	 99.2245	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130076	 0.982988 	 68.6635	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130077	 0.982585 	 48.2521	LINEAGE2	lineage2.1	PRJDB7006
DRR130078	 0.982954 	 72.0901	LINEAGE2	lineage2.1	PRJDB7006
DRR130079	 0.981011 	 38.1345	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130080	 0.981408 	 114.843	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130081	 0.982295 	 48.7598	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130082	 0.986383 	 109.056	LINEAGE1	lineage1.2.1	PRJDB7006
DRR130083	 0.983103 	 92.6883	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130084	 0.983238 	 124.417	LINEAGE2	lineage2.2.1.1	PRJDB7006
DRR130085	 0.98881 	 86.0877	LINEAGE4	lineage4.1.2.1	PRJDB7006
DRR130086	 0.981077 	 37.4459	LINEAGE2	lineage2.2.1.1	PRJDB7006
DRR130087	 0.979661 	 84.2166	LINEAGE4	lineage4.3.4.1	PRJDB7006
DRR130088	 0.980325 	 101.384	LINEAGE4	lineage4.3.4.1	PRJDB7006
DRR130089	 0.977135 	 28.5188	LINEAGE4	lineage4.3.4.1	PRJDB7006
DRR130090	 0.978425 	 42.541	LINEAGE4	lineage4.3.4.1	PRJDB7006
DRR130091	 0.981864 	 109.837	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130092	 0.978249 	 102.395	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130093	 0.982866 	 115.966	LINEAGE2	lineage2.1	PRJDB7006
DRR130094	 0.988566 	 79.4045	LINEAGE1	lineage1.2.1	PRJDB7006
DRR130095	 0.982927 	 100.731	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130096	 0.983416 	 78.8098	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130097	 0.983922 	 95.5445	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130098	 0.982702 	 90.4185	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130099	 0.982777 	 72.887	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130100	 0.983302 	 58.9069	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130101	 0.982337 	 49.3173	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130102	 0.98434 	 83.4827	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130103	 0.980578 	 120.44	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130104	 0.983591 	 102.223	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130105	 0.98353 	 113.89	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130106	 0.988992 	 122.831	LINEAGE4	lineage4.5	PRJDB7006
DRR130107	 0.982188 	 37.8043	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130108	 0.986142 	 79.2139	LINEAGE4	lineage4.3.3	PRJDB7006
DRR130109	 0.978032 	 68.967	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130110	 0.980152 	 24.704	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130111	 0.98018 	 91.2122	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130112	 0.982247 	 46.9864	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130113	 0.982002 	 75.6942	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130114	 0.981877 	 99.2889	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130115	 0.987496 	 80.5481	LINEAGE4	lineage4.4.2	PRJDB7006
DRR130116	 0.983703 	 72.8252	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130117	 0.982188 	 63.0565	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130118	 0.989426 	 90.8352	LINEAGE4	lineage4.9.x.x	PRJDB7006
DRR130119	 0.969015 	 111.332	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130120	 0.982169 	 54.9579	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130121	 0.979692 	 107.653	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130122	 0.983812 	 91.0054	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130123	 0.983406 	 93.8586	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130124	 0.981793 	 144.033	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130125	 0.987402 	 82.058	LINEAGE1	lineage1.2.1	PRJDB7006
DRR130126	 0.980039 	 72.8446	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130127	 0.983866 	 109.678	LINEAGE4	lineage4.8	PRJDB7006
DRR130128	 0.979594 	 48.7051	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130129	 0.981698 	 113.054	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130130	 0.990734 	 107.616	LINEAGE4	lineage4.9.x.x	PRJDB7006
DRR130131	 0.987742 	 120.274	LINEAGE1	lineage1.2.1	PRJDB7006
DRR130132	 0.98233 	 82.1455	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130133	 0.98162 	 59.1506	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130134	 0.982434 	 108.096	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130135	 0.981579 	 68.2609	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130136	 0.982353 	 108.971	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130137	 0.981645 	 122.093	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130138	 0.984872 	 45.5293	LINEAGE4	lineage4.5	PRJDB7006
DRR130139	 0.983452 	 96.9604	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130140	 0.981911 	 65.2622	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130141	 0.984394 	 60.7095	LINEAGE2	lineage2.x.x.x	PRJDB7006
DRR130142	 0.983177 	 77.075	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130143	 0.981505 	 80.1796	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130144	 0.987212 	 86.562	LINEAGE4	lineage4.2.2	PRJDB7006
DRR130145	 0.98238 	 113.381	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130146	 0.982471 	 144.252	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130147	 0.982687 	 87.641	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130148	 0.989639 	 130.652	LINEAGE1	lineage1.2.1	PRJDB7006
DRR130149	 0.981412 	 96.028	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130150	 0.987962 	 107.932	LINEAGE4	lineage4.2.2	PRJDB7006
DRR130151	 0.979827 	 57.1178	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130152	 0.98366 	 89.6482	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130153	 0.98309 	 104.212	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130154	 0.9805 	 50.1726	LINEAGE2	lineage2.2.2	PRJDB7006
DRR130155	 0.979584 	 61.3151	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130156	 0.977302 	 75.2798	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130157	 0.983134 	 84.2922	LINEAGE2	lineage2.2.1	PRJDB7006
DRR130158	 0.98857 	 72.3749	LINEAGE4	lineage4.9.x.x	PRJDB7006
